UserId	Scenario 1	Scenario 2	Scenario 3	Scenario 4	Scenario 5	Scenario 6	Scenario 7	Scenario 8
336c916d-70e3-449b-a21b-e2b143f8b505	1	2	1	1	2	2	1	1
10dad70b-581f-439d-b854-d0a539d6a063	2	1	2	1	2	1	1	1
2a5e8609-81f2-424e-b01f-b7ac5b8a4f39	1	1	1	2	1	2	1	1
e6a6d715-9fa1-4504-9425-697466abc7c4	2	1	2	1	1	2	1	3
29a953b1-3fef-4d63-aeec-1dd33dddd898	4	3	3	4	3	2	3	4
44791a1c-70bc-487f-857d-09931e01239e	1	2	2	2	1	1	1	1
11e91d7b-16f7-42a5-8dde-63a5ae973264	1	2	1	1	1	1	2	1
0bdc9e45-26de-42d6-ae95-4e5e6cdbffe8	1	1	2	1	1	1	1	1
8dc4dea1-2087-4079-950b-0ee8e50f10bf	1	2	2	2	2	1	1	1
42fd1fdd-5e76-4bc8-b9ff-b18adfd20bd4	1	1	1	1	1	1	1	2
62f777c5-06ae-4a02-b69e-967ac49ce0e6	2	2	2	2	2	1	2	2
0d3400fc-5a73-4d9a-a9a2-a2dd32652790	1	2	2	2	2	1	1	2
cab95fc2-b468-485f-810e-e6c3ee068f14	1	1	2	2	2	1	2	1
86767e70-ddbb-4b8f-807b-4a9057caefc6	1	1	1	1	1	1	1	1
d13d9d69-db6f-4b41-82c8-8793e0704915	3	1	2	2	2	1	1	1
d785c2be-831e-4b72-aab0-fab484c1bbd7	2	1	1	1	1	1	1	1
a6c634f4-f539-4306-981b-3879a69679af	1	1	1	2	2	1	1	1
0075a8b0-3ca3-48fc-b66d-4e645f59a044	1	1	1	1	1	1	1	1
ac5d0cb6-211c-4770-90de-cd8d2456eaaf	1	1	1	1	2	1	1	1
d3a563f1-49d5-48ac-a438-2e8dc03fa00c	1	2	1	1	1	2	1	2
a774da64-3be3-46c2-92e5-e72eba014abc	1	2	2	1	2	1	1	2
771c4071-311b-4e03-95a1-b44dac60a5db	1	1	1	1	1	1	1	1
8b13e51c-3bb4-45eb-bf98-1e51f1af8ec1	1	1	1	2	2	1	1	2
33afba48-79bc-441b-a6e5-555dfdda9ee2	1	1	1	1	1	1	1	3
cc1a2a64-692c-4bd5-9ba1-b58ca41b78a2	1	1	2	2	2	1	1	1
10e07795-6e1c-4daa-998e-6c5055c8bcda	1	1	1	1	1	1	1	1
83ed9ea9-61a0-436a-ba82-792226bc6890	1	1	3	1	2	1	1	1
c1a5e8ef-976a-484e-929d-c211fa94df1e	2	1	2	2	1	1	1	1
80bc42b6-87a4-4252-adcd-78a90f56548a	2	2	1	1	2	1	1	1
de35fffc-d67b-4cb4-a2cf-beb3358e2fb3	1	1	2	1	1	1	1	1
53a97666-9aa7-4e8d-8f89-5aabcd04e4bf	1	1	1	1	2	1	1	1
bf16631f-1e70-4791-af9a-ba41067f65d2	1	1	2	1	1	1	1	3
b0b35bc8-ae59-48cd-b075-e4ecb6d33ed6	1	2	2	2	2	1	1	1
5595ae42-9fcb-4f02-a069-dcb42b8dd50a	1	1	2	2	1	1	1	1
f4dc0aed-3ed2-4289-b19d-755cefc11880	1	1	2	1	2	1	1	1
e444631b-d60d-4a40-90bf-d5cad238f849	1	2	2	1	1	1	1	2
4f6c81a4-1a90-4559-ba53-52008812a6b9	3	1	1	1	2	1	1	1
b16b1e41-bdfd-4966-8b9d-7513fd114c92	1	1	2	1	1	1	1	3
