UserId	StudyGroupId	Scenario1	Scenario2	Scenario3	Scenario4	Scenario5	Scenario6	Scenario7	Scenario8
44791A1C-70BC-487F-857D-09931E01239E	1	1	2	2	2	1	1	1	1
D3A563F1-49D5-48AC-A438-2E8DC03FA00C	1	1	2	1	1	1	2	1	2
86767E70-DDBB-4B8F-807B-4A9057CAEFC6	1	1	1	1	1	1	1	1	1
0BDC9E45-26DE-42D6-AE95-4E5E6CDBFFE8	1	1	1	2	1	1	1	1	1
0075A8B0-3CA3-48FC-B66D-4E645F59A044	1	1	1	1	1	1	1	1	1
33AFBA48-79BC-441B-A6E5-555DFDDA9EE2	1	1	1	1	1	1	1	1	3
E6A6D715-9FA1-4504-9425-697466ABC7C4	1	2	1	2	1	1	2	1	3
10E07795-6E1C-4DAA-998E-6C5055C8BCDA	1	1	1	1	1	1	1	1	1
B16B1E41-BDFD-4966-8B9D-7513FD114C92	1	1	1	2	1	1	1	1	3
42FD1FDD-5E76-4BC8-B9FF-B18ADFD20BD4	1	1	1	1	1	1	1	1	2
771C4071-311B-4E03-95A1-B44DAC60A5DB	1	1	1	1	1	1	1	1	1
2A5E8609-81F2-424E-B01F-B7AC5B8A4F39	1	1	1	1	2	1	2	1	1
BF16631F-1E70-4791-AF9A-BA41067F65D2	1	1	1	2	1	1	1	1	3
DE35FFFC-D67B-4CB4-A2CF-BEB3358E2FB3	1	1	1	2	1	1	1	1	1
C1A5E8EF-976A-484E-929D-C211FA94DF1E	1	2	1	2	2	1	1	1	1
E444631B-D60D-4A40-90BF-D5CAD238F849	1	1	2	2	1	1	1	1	2
5595AE42-9FCB-4F02-A069-DCB42B8DD50A	1	1	1	2	2	1	1	1	1
336C916D-70E3-449B-A21B-E2B143F8B505	1	1	2	1	1	2	2	1	1
D785C2BE-831E-4B72-AAB0-FAB484C1BBD7	1	2	1	1	1	1	1	1	1

